order_id,customer_id,product_id,quantity,order_date
1,73,80,5,2025-12-20
2,768,64,5,2025-12-07
3,729,92,4,2026-01-02
4,696,80,2,2025-06-02
5,17,80,4,2025-04-19
6,74,61,5,2026-01-10
7,81,85,1,2025-10-30
8,518,90,1,2025-10-23
9,864,44,3,2025-05-18
10,993,51,5,2025-04-11
11,759,62,4,2025-11-30
12,206,93,3,2025-08-21
13,755,45,2,2025-03-18
14,956,38,4,2026-01-04
15,873,97,1,2025-05-13
16,697,69,3,2025-07-20
17,941,22,2,2025-03-17
18,984,16,1,2025-09-04
19,772,64,4,2025-11-02
20,144,45,3,2025-09-03
21,408,3,4,2025-12-21
22,868,22,3,2025-10-13
23,983,73,4,2026-01-24
24,535,91,5,2025-09-28
25,745,13,5,2025-11-26
26,53,33,2,2025-05-14
27,232,68,5,2025-11-09
28,198,97,4,2025-06-19
29,419,50,5,2026-01-28
30,256,31,2,2025-04-09
31,649,16,3,2025-09-21
32,426,85,1,2025-07-21
33,823,74,1,2025-05-26
34,464,89,3,2025-03-07
35,697,13,2,2025-09-23
36,349,33,1,2026-01-12
37,992,48,5,2025-06-03
38,261,100,2,2025-06-23
39,634,67,1,2025-10-03
40,397,63,4,2025-09-14
41,761,12,2,2025-03-29
42,330,1,4,2026-02-07
43,671,18,1,2025-08-22
44,251,55,3,2025-09-28
45,573,35,5,2025-06-11
46,713,9,3,2025-08-14
47,827,84,4,2025-07-11
48,336,27,4,2025-02-25
49,234,100,1,2025-04-11
50,127,43,3,2025-04-28
51,120,50,5,2025-06-23
52,410,22,4,2025-06-17
53,657,64,4,2025-04-10
54,838,71,4,2025-06-02
55,341,42,3,2026-01-13
56,292,61,3,2025-03-05
57,307,57,2,2025-04-20
58,963,58,2,2025-06-22
59,515,12,4,2025-12-12
60,795,49,5,2025-09-05
61,633,66,1,2025-09-23
62,238,2,3,2025-07-30
63,318,71,3,2025-07-22
64,188,95,5,2025-10-27
65,864,93,3,2025-12-27
66,273,80,1,2025-08-07
67,42,46,1,2025-12-28
68,914,98,3,2025-05-23
69,210,88,1,2025-07-17
70,344,56,4,2025-09-03
71,679,2,1,2025-09-24
72,571,49,1,2025-08-18
73,354,54,3,2025-03-21
74,609,36,1,2025-06-07
75,320,83,1,2025-10-10
76,417,24,5,2025-05-14
77,491,24,1,2025-08-13
78,881,58,5,2025-09-13
79,83,45,4,2025-12-25
80,138,63,1,2025-05-09
81,218,89,4,2025-12-18
82,467,29,5,2026-01-25
83,961,72,5,2025-11-03
84,792,82,1,2025-10-10
85,608,3,1,2025-09-17
86,819,53,3,2026-02-14
87,593,73,3,2025-04-15
88,656,57,4,2025-10-10
89,586,59,3,2025-06-18
90,722,56,3,2025-05-15
91,120,100,2,2025-07-03
92,580,11,2,2025-05-11
93,354,41,4,2025-05-27
94,729,88,2,2025-03-24
95,936,30,4,2025-06-19
96,598,94,3,2025-04-16
97,225,14,5,2026-02-17
98,968,87,3,2025-03-17
99,742,18,4,2025-12-10
100,765,95,2,2025-05-30
101,145,82,4,2025-10-27
102,535,20,5,2025-12-19
103,5,64,1,2025-09-29
104,270,31,5,2026-01-16
105,120,30,5,2025-12-03
106,638,89,5,2025-02-24
107,390,52,3,2025-05-19
108,624,82,1,2025-04-21
109,226,59,4,2025-12-25
110,184,88,2,2025-07-05
111,214,5,2,2025-06-01
112,632,26,4,2026-01-17
113,892,78,3,2026-01-29
114,217,72,4,2025-04-06
115,1,93,2,2026-01-14
116,320,97,4,2025-06-19
117,113,96,5,2025-07-15
118,890,84,1,2025-09-22
119,517,89,1,2025-11-07
120,516,26,3,2025-12-14
121,958,28,2,2026-01-18
122,151,27,2,2025-04-16
123,145,33,3,2025-06-10
124,785,16,1,2025-09-25
125,9,99,1,2025-10-07
126,723,44,3,2025-11-26
127,828,42,3,2025-04-23
128,913,8,3,2026-02-16
129,633,99,5,2025-08-28
130,105,22,4,2025-12-18
131,872,45,2,2025-07-27
132,479,27,1,2025-06-13
133,211,6,5,2025-06-09
134,92,9,3,2026-02-13
135,113,25,4,2025-12-06
136,417,59,5,2025-10-16
137,633,23,4,2026-02-04
138,938,34,1,2025-07-18
139,39,31,5,2025-10-06
140,460,80,1,2025-06-10
141,375,11,5,2025-05-05
142,917,64,5,2025-03-14
143,780,97,2,2025-11-15
144,478,51,2,2025-07-04
145,461,83,3,2025-09-25
146,892,98,2,2025-03-01
147,252,100,5,2025-10-24
148,122,10,5,2025-07-25
149,652,19,1,2025-04-06
150,134,22,2,2025-07-21
151,186,73,3,2025-04-30
152,34,38,5,2025-07-17
